abcd,nda,instrument
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_isthmuscingulate.lh,ssticrspvscrgobctxlhisthmuscg,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_inferiortemporal.lh,ssticrspvscrgobctxlhiftp,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_inferiorparietal.lh,ssticrspvscrgobctxlhifpar,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_frontalpole.lh,ssticrspvscrgobctxlhfrpole,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_fusiform.lh,ssticrspvscrgobctxlhff,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_entorhinal.lh,ssticrspvscrgobctxlhentorhinal,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_cuneus.lh,ssticrspvscrgobctxlhcuneus,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_caudalmiddlefrontal.lh,ssticrspvscrgobctxlhcdmdfr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_caudalanteriorcingulate.lh,ssticrspvscrgobctxlhcdantcg,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_bankssts.lh,ssticrspvscrgobctxlhbankssts,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_csf,ssticrspvscrgobcsf,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_brain.stem,ssticrspvscrgobbrainstem,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_4th.ventricle,ssticrspvscrgob4thvnt,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_3rd.ventricle,ssticrspvscrgob3rdvnt,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_ventraldc.rh,ssticrgovsicrspbtvldc,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_thalamus.proper.rh,ssticrgovsicrspbttpr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_putamen.rh,ssticrgovsicrspbtputamen,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_pallidum.rh,ssticrgovsicrspbtpallidum,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_lateral.ventricle.rh,ssticrgovsicrspbtltvnt,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_inf.lat.vent.rh,ssticrgovsicrspbtinflatvent,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_hippocampus.rh,ssticrgovsicrspbthmp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_cerebral.white.matter.rh,ssticrgovsicrspbtclwm,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_cerebellum.white.matter.rh,ssticrgovsicrspbtcbmwm,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_cerebellum.cortex.rh,ssticrgovsicrspbtcbmcx,sstroi01
