abcd,nda,instrument
smri_area_cort.fuzzy12_superiortemporal.lh,ca_lh_f12_superiortemp,freesvol01
smri_area_cort.fuzzy12_inferiorparietal.lh,ca_lh_f12_inferiorpariet,freesvol01
smri_area_cort.fuzzy12_dorsomedialfrontal.lh,ca_lh_f12_dorsomedialfront,freesvol01
smri_area_cort.fuzzy12_anteromedialtemporal.lh,ca_lh_f12_anteromedialtemp,freesvol01
smri_area_cort.fuzzy12_precuneus.lh,ca_lh_f12_precuneus,freesvol01
smri_area_cort.fuzzy12_dorsolateralprefrontal.lh,ca_lh_f12_dorso_ltr_prefront,freesvol01
smri_area_cort.fuzzy12_parsopercularis.lh,ca_lh_f12_parsopercularis,freesvol01
smri_area_cort.fuzzy2_frontal.rh,ca_rh_f2_front,freesvol01
smri_area_cort.fuzzy2_posterior.rh,ca_rh_f2_posterior,freesvol01
smri_area_cort.fuzzy4_frontal.rh,ca_rh_f4_front,freesvol01
smri_area_cort.fuzzy4_occipital.rh,ca_rh_f4_occipital,freesvol01
smri_area_cort.fuzzy4_temporal.rh,ca_rh_f4_temp,freesvol01
smri_area_cort.fuzzy4_parietal.rh,ca_rh_f4_pariet,freesvol01
smri_area_cort.fuzzy12_central.rh,ca_rh_f12_central,freesvol01
smri_area_cort.fuzzy12_occipital.rh,ca_rh_f12_occipital,freesvol01
smri_area_cort.fuzzy12_posterolateraltemporal.rh,ca_rh_f12_postero_ltr_temp,freesvol01
smri_area_cort.fuzzy12_superiorparietal.rh,ca_rh_f12_superiorpariet,freesvol01
smri_area_cort.fuzzy12_orbitofrontal.rh,ca_rh_f12_orbitofront,freesvol01
smri_area_cort.fuzzy12_superiortemporal.rh,ca_rh_f12_superiortemp,freesvol01
smri_area_cort.fuzzy12_inferiorparietal.rh,ca_rh_f12_inferiorpariet,freesvol01
smri_area_cort.fuzzy12_dorsomedialfrontal.rh,ca_rh_f12_dorsomedialfront,freesvol01
smri_area_cort.fuzzy12_anteromedialtemporal.rh,ca_rh_f12_anteromedialtemp,freesvol01
smri_area_cort.fuzzy12_precuneus.rh,ca_rh_f12_precuneus,freesvol01
smri_area_cort.fuzzy12_dorsolateralprefrontal.rh,ca_rh_f12_dorso_ltr_prefront,freesvol01
smri_area_cort.fuzzy12_parsopercularis.rh,ca_rh_f12_parsopercularis,freesvol01
smri_area_cort.desikan_total.lh,ca_ctx_lh_total,freesvol01
smri_area_cort.desikan_total.rh,ca_ctx_rh_total,freesvol01
smri_area_cort.desikan_total,ca_ctx_total,freesvol01
smri_vol_cort.desikan_bankssts.lh,cv_lh_bankssts,freesvol01
